Unique ID,Skeletal element,Archaeological culture,label,Group Date Range,Group,Date (2-sigma),Min Date,Max Date,Location,Country
I0726,Tooth,Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6400-5600 BCE,..,..,Menteşe,Turkey
I1099,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1100,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1102,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I1103,Petrous core (Cochlea + Semicircular canal),Anatolia_Neolithic,AEN,8.4-8.3 kya,Anatolian Neolithic,6500-6200 BCE,8415,8215,Barcın,Turkey
I0108,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2575-2299 calBCE (Er8710),4512,4451,Rothenschirmbach,Germany
I0111,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2475-2204 calBCE (Er8712),4429,4348,Rothenschirmbach,Germany
I0112,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2457-2142 calBCE (Er7038),4355,4205,Quedlinburg XII,Germany
I0113,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2346-2033 calBCE (Er7283),4305,4145,Quedlinburg XII,Germany
I0806,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2431-2150 calBCE (MAMS 22820),4311,4221,Quedlinburg VII,Germany
I1546,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2500-2050 BCE,4515,4065,Benzingerode-Heimburg,Germany
I1549,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2500-2050 BCE,4515,4065,Benzingerode-Heimburg,Germany
I0805,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2467-2142 calBCE (Er8558),4375,4205,Quedlinburg VII,Germany
I0060,Tooth,Bell_Beaker_LN,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2428-2149 calBCE (MAMS 22819),4309,4221,Rothenschirmbach,Germany
I0059,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2337-2138 calBCE (MAMS 21486),4301,4168,Benzingerode-Heimburg,Germany
I0171,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2287-2041 calBCE (KIA27952 ),4219,4151,Benzingerode-Heimburg,Germany
I0049,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2464-2210 calBCE (MAMS 21489),4469,4306,Esperstedt,Germany
I0103,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2578-2468 calBCE (MAMS 21488),4581,4492,Esperstedt,Germany
I0104,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2559-2296 calBCE (MAMS 21487),4488,4363,Esperstedt,Germany
I0106,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2464-2210 calBCE (MAMS 21490),4469,4306,Esperstedt,Germany
I1532,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2500-2050 BCE,4515,4065,Esperstedt,Germany
I1536,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2500-2050 BCE,4515,4065,Esperstedt,Germany
I1538,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2500-2050 BCE,4515,4065,Esperstedt,Germany
