Group Classification,Group Name,ID,Date Range,Dataset published,Coverage,Period,Age Range
Ancient South Asian,Swat Valley,I6888,"818-789 calBCE (2620±20 BP, PSUAMS-4423)","Narashiman et al, 2019",3,Iron or Bronze,970-550 BCE
Ancient South Asian,Swat Valley,I8219,"974-836 calBCE (2760±20 BP, PSUAMS-4853)","Narashiman et al, 2019",8,Iron or Bronze,970-550 BCE
Ancient South Asian,Swat Valley,I10000,1000-800 BCE,"Narashiman et al, 2019",5,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I10001,1000-800 BCE,"Narashiman et al, 2019",18,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I10523,1000-800 BCE,"Narashiman et al, 2019",8,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12134,1000-800 BCE,"Narashiman et al, 2019",8,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12136,1000-800 BCE,"Narashiman et al, 2019",7,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12137,1000-800 BCE,"Narashiman et al, 2019",7,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12138,"1071-925 calBCE (2845±20 BP, PSUAMS-5277)","Narashiman et al, 2019",8,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12146,1000-800 BCE,"Narashiman et al, 2019",4,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12149,1000-800 BCE,"Narashiman et al, 2019",43,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12445,1000-800 BCE,"Narashiman et al, 2019",36,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12446,1000-800 BCE,"Narashiman et al, 2019",12,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12447,1000-800 BCE,"Narashiman et al, 2019",57,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12450,"824-792 calBCE (2630±20 BP, PSUAMS-5279)","Narashiman et al, 2019",27,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12451,1000-800 BCE,"Narashiman et al, 2019",20,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12454,1000-800 BCE,"Narashiman et al, 2019",27,Iron or Bronze,1941-792 BCE
Ancient South Asian,Swat Valley,I12456,1000-800 BCE,"Narashiman et al, 2019",37,Iron or Bronze,1941-792 BCE
